# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"174","H6","pRH106_0.01","S2","82.16145324707031","119488.609375"
"174","H6","pRH106_0.01","S2","65.28770446777344","25636.48828125"
"175","H7","pRH106_0.001","S2","82.16145324707031","19722.515625"
"175","H7","pRH106_0.001","S2","61.238006591796875","3510.155517578125"
"175","H7","pRH106_0.001","S2","76.536865234375","3527.272216796875"
"175","H7","pRH106_0.001","S2","68.77494812011719","4046.7138671875"
"175","H7","pRH106_0.001","S2","72.82464599609375","3784.114013671875"
"176","H8","pRH106_0.0001","S2","82.27394104003906","68918.828125"
"176","H8","pRH106_0.0001","S2","62.36292266845703","12829.2939453125"
"176","H8","pRH106_0.0001","S2","71.24976348876953","15011.2412109375"
"176","H8","pRH106_0.0001","S2","68.99993133544922","15003.4609375"
"176","H8","pRH106_0.0001","S2","76.87434387207031","14456.068359375"
"193","I1","pRH106","S2","82.05146789550781","142537.953125"
"193","I1","pRH106","S2","66.63822174072266","25643.953125"
"193","I1","pRH106","S2","90.03936004638672","3337.791015625"
"193","I1","pRH106","S2","61.350467681884766","25577.326171875"
"193","I1","pRH106","S2","92.62698364257812","3227.71875"
"194","I2","pRH107","S2","82.16397857666016","164398.59375"
